Date,Open,High,Low,Close,Adj Close,Volume
2019-05-21,9.960000,9.960000,9.800000,9.960000,9.960000,60413400
2019-05-22,9.950000,10.120000,9.880000,9.900000,9.900000,51644100
2019-05-23,9.810000,9.830000,9.470000,9.560000,9.560000,56841500
2019-05-24,9.620000,9.680000,9.440000,9.450000,9.450000,47533100
2019-05-28,9.410000,9.540000,9.270000,9.360000,9.360000,72211700
2019-05-29,9.310000,9.390000,9.150000,9.370000,9.370000,44588000
2019-05-30,9.370000,9.510000,9.290000,9.470000,9.470000,50531400
2019-05-31,9.340000,9.470000,9.300000,9.440000,9.440000,46337900
2019-06-03,9.300000,9.540000,9.250000,9.530000,9.530000,47274000
2019-06-04,9.610000,10.000000,9.590000,10.000000,10.000000,61404700
2019-06-05,10.070000,10.090000,9.820000,9.890000,9.890000,41163400
2019-06-06,9.890000,10.000000,9.770000,9.920000,9.920000,38528000
2019-06-07,9.900000,10.050000,9.820000,9.980000,9.980000,41084600
2019-06-10,10.050000,10.350000,10.000000,10.050000,10.050000,52267100
2019-06-11,10.100000,10.200000,9.960000,10.120000,10.120000,38957700
2019-06-12,10.080000,10.390000,10.020000,10.280000,10.280000,54970100
2019-06-13,10.360000,10.520000,10.250000,10.310000,10.310000,62115700
2019-06-14,10.280000,10.340000,10.180000,10.230000,10.230000,34355100
2019-06-17,10.200000,10.240000,10.020000,10.050000,10.050000,46050300
2019-06-18,10.110000,10.430000,10.090000,10.420000,10.420000,73563600
2019-06-19,10.470000,10.610000,10.330000,10.340000,10.340000,60616700
2019-06-20,10.470000,10.700000,10.470000,10.630000,10.630000,65882700
